Abbreviation	Category	Group	Unabbreviated words	Comments
A&G	General	Observation	Acquisition and Guiding	
ADC	Subaru	Instrument	Atmospheric Dispersion Corrector	A part of WFC
AG	PFI	Observation	Auto Guide	
AGC	PFI	Subcomponent	Acquisition and Guidance Camera	
agcc	ICS	Actor	Acquisition and Guidance Camera Controller	
AIT	PFS	General	Assembly and Integration Tests	
APC	PFI	Subcomponent	Auxiliary Power/control Electronics	
ASIAA	General	Organization	"Academia Sinica Institute of Astronomy and Astrophysics, Taiwan"	
BBC	FOCCoS	Subcomponent	Big Black Cable	Protective tubes for optical fibers at Cable C and B
BCB	PFI	Subcomponent	Bulkhead Connector Box	
BCU	SpS	Subcomponent	Blue Camera Unit	
bcu	ICS	Actor	Blue Camera Unit	
BDA	SpS	Subcomponent	Blue Disperser Assembly	
BIA	SpS	Subcomponent	Back-Illumination Assembly	
CAA	SpS	Subcomponent	Camera Assembly	
CAL	PFI	Subcomponent	Calibration Lamp	
Caltech	General	Organization	"California Institute of Technology, USA"	
CAS	SpS	Subcomponent	Visible (TBC) Camera Unit AIT Station	
CAT	SpS	Subcomponent	CU optical Alignment Tool	
CB2F	Subaru	Facility	Control Building 2nd Floor	The place at which main constrol system will be.
CIT	SpS	Subcomponent	CU Integration Tool	
CIT	General	Organization	"California Institute of Technology, USA"	
CLA	FOCCoS	Subcomponent	Cell Assemblies	
CMA	SpS	Subcomponent	Collimator Mirror Assembly	Tower Connector of Cable C
COA	SpS	Subcomponent	Central Optical Assembly	
COB	PFI	Subcomponent	Cobra Optical Bench	
COBRA	PFI	Subcomponent	COBRA positioners	
COT	SpS	Subcomponent	Camera Optics SA integration tool	
CPPC	General	Organization	Chinese PFS Participant Consortium	
CRA	SpS	Subcomponent	Cryostat Assembly	
CWA	PFI	Subcomponent	Cable Wrapper Assembly	
DAQtk	Subaru	Operation	Data Acquisition and Queue ToolKit (SOSS)	
DB	FOCCoS	Subcomponent	Distribution Box	
DEA	SpS	Subcomponent	Dewar Assembly	
DECS	SpS	Subcomponent	Detector Control System	
DPS	PFI	Subcomponent	DC Power Supply	For APC
DRP	Software	General	Data Reduction Pipeline	
emp	ICS	Actor	Environment Monitoring module using rasPi	
ENU	SpS	Subcomponent	Entrance Unit	
enu	ICS	Actor	Entrance Unit	
ETC	PFI	Subcomponent	Electronics Thermal Control	
ETC	SPT	misc	Exposure Time Calculator	
